date,acc_temp,test_temp,rep,conc,obs,neonates,size_neonate,size_ephippia,size_adult,time_brood,brood_number,day,month,year
2019-04-04,20,15,1,0,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,15,2,0,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,15,1,0,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,15,3,0,start,NA,NA,NA,NA,,,10,4,2019
2019-04-11,25,15,2,0,start,NA,NA,NA,NA,,,11,4,2019
2019-04-12,25,15,3,0,start,NA,NA,NA,NA,,,12,4,2019
2019-04-12,15,15,1,0,start,NA,NA,NA,NA,,,12,4,2019
2019-04-04,20,20,1,0,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,20,2,0,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,20,1,0,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,20,3,0,start,NA,NA,NA,NA,,,10,4,2019
2019-04-11,25,20,2,0,start,NA,NA,NA,NA,,,11,4,2019
2019-04-12,25,20,3,0,start,NA,NA,NA,NA,,,12,4,2019
2019-04-12,15,20,1,0,start,NA,NA,NA,NA,,,12,4,2019
2019-04-04,20,25,1,0,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,25,2,0,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,25,1,0,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,25,3,0,start,NA,NA,NA,NA,,,10,4,2019
2019-04-11,25,25,2,0,start,NA,NA,NA,NA,,,11,4,2019
2019-04-12,25,25,3,0,start,NA,NA,NA,NA,,,12,4,2019
2019-04-12,15,25,1,0,start,NA,NA,NA,NA,,,12,4,2019
2019-04-04,20,15,1,4,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,15,2,4,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,15,1,4,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,15,3,4,start,NA,NA,NA,NA,,,10,4,2019
2019-04-11,25,15,2,4,start,NA,NA,NA,NA,,,11,4,2019
2019-04-12,25,15,3,4,start,NA,NA,NA,NA,,,12,4,2019
2019-04-12,15,15,1,4,start,NA,NA,NA,NA,,,12,4,2019
2019-04-04,20,20,1,4,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,20,2,4,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,20,1,4,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,20,3,4,start,NA,NA,NA,NA,,,10,4,2019
2019-04-11,25,20,2,4,start,NA,NA,NA,NA,,,11,4,2019
2019-04-12,25,20,3,4,start,NA,NA,NA,NA,,,12,4,2019
2019-04-12,15,20,1,4,start,NA,NA,NA,NA,,,12,4,2019
2019-04-04,20,25,1,4,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,25,2,4,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,25,1,4,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,25,3,4,start,NA,NA,NA,NA,,,10,4,2019
2019-04-11,25,25,2,4,start,NA,NA,NA,NA,,,11,4,2019
2019-04-12,25,25,3,4,start,NA,NA,NA,NA,,,12,4,2019
2019-04-12,15,25,1,4,start,NA,NA,NA,NA,,,12,4,2019
2019-04-04,20,15,1,6,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,15,2,6,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,15,1,6,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,15,3,6,start,NA,NA,NA,NA,,,10,4,2019
2019-04-11,25,15,2,6,start,NA,NA,NA,NA,,,11,4,2019
2019-04-12,25,15,3,6,start,NA,NA,NA,NA,,,12,4,2019
2019-04-12,15,15,1,6,start,NA,NA,NA,NA,,,12,4,2019
2019-04-04,20,20,1,6,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,20,2,6,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,20,1,6,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,20,3,6,start,NA,NA,NA,NA,,,10,4,2019
2019-04-11,25,20,2,6,start,NA,NA,NA,NA,,,11,4,2019
2019-04-12,25,20,3,6,start,NA,NA,NA,NA,,,12,4,2019
2019-04-12,15,20,1,6,start,NA,NA,NA,NA,,,12,4,2019
2019-04-04,20,25,1,6,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,25,2,6,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,25,1,6,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,25,3,6,start,NA,NA,NA,NA,,,10,4,2019
2019-04-11,25,25,2,6,start,NA,NA,NA,NA,,,11,4,2019
2019-04-12,25,25,3,6,start,NA,NA,NA,NA,,,12,4,2019
2019-04-12,15,25,1,6,start,NA,NA,NA,NA,,,12,4,2019
2019-04-04,20,15,1,9,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,15,2,9,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,15,1,9,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,15,3,9,start,NA,NA,NA,NA,,,10,4,2019
2019-04-11,25,15,2,9,start,NA,NA,NA,NA,,,11,4,2019
2019-04-12,25,15,3,9,start,NA,NA,NA,NA,,,12,4,2019
2019-04-12,15,15,1,9,start,NA,NA,NA,NA,,,12,4,2019
2019-04-04,20,20,1,9,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,20,2,9,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,20,1,9,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,20,3,9,start,NA,NA,NA,NA,,,10,4,2019
2019-04-11,25,20,2,9,start,NA,NA,NA,NA,,,11,4,2019
2019-04-12,25,20,3,9,start,NA,NA,NA,NA,,,12,4,2019
2019-04-12,15,20,1,9,start,NA,NA,NA,NA,,,12,4,2019
2019-04-04,20,25,1,9,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,25,2,9,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,25,1,9,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,25,3,9,start,NA,NA,NA,NA,,,10,4,2019
2019-04-11,25,25,2,9,start,NA,NA,NA,NA,,,11,4,2019
2019-04-12,25,25,3,9,start,NA,NA,NA,NA,,,12,4,2019
2019-04-12,15,25,1,9,start,NA,NA,NA,NA,,,12,4,2019
2019-04-04,20,15,1,13,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,15,2,13,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,15,1,13,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,15,3,13,start,NA,NA,NA,NA,,,10,4,2019
2019-04-11,25,15,2,13,start,NA,NA,NA,NA,,,11,4,2019
2019-04-12,25,15,3,13,start,NA,NA,NA,NA,,,12,4,2019
2019-04-12,15,15,1,13,start,NA,NA,NA,NA,,,12,4,2019
2019-04-04,20,20,1,13,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,20,2,13,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,20,1,13,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,20,3,13,start,NA,NA,NA,NA,,,10,4,2019
2019-04-11,25,20,2,13,start,NA,NA,NA,NA,,,11,4,2019
2019-04-12,25,20,3,13,start,NA,NA,NA,NA,,,12,4,2019
2019-04-12,15,20,1,13,start,NA,NA,NA,NA,,,12,4,2019
2019-04-04,20,25,1,13,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,25,2,13,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,25,1,13,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,25,3,13,start,NA,NA,NA,NA,,,10,4,2019
2019-04-11,25,25,2,13,start,NA,NA,NA,NA,,,11,4,2019
2019-04-12,25,25,3,13,start,NA,NA,NA,NA,,,12,4,2019
2019-04-12,15,25,1,13,start,NA,NA,NA,NA,,,12,4,2019
2019-04-04,20,15,1,20,start,NA,NA,NA,NA,,,4,4,2019
2019-04-09,20,15,2,20,start,NA,NA,NA,NA,,,9,4,2019
2019-04-09,25,15,1,20,start,NA,NA,NA,NA,,,9,4,2019
2019-04-10,20,15,3,20,start,NA,NA,NA,NA,,,10,4,2019
