date,acclimatised_temp,test_temp,replicate,concentration,observation,neonates,size_neonate,size_ephippia,size_adult
19-4-2019,20,25,1,44,ephippia,,,,
19-4-2019,20,25,1,13,ephippia,,,,
19-4-2019,20,25,1,6,ephippia,,,,
19-4-2019,20,20,1,13,neonates,2,,,
19-4-2019,20,20,1,6,neonates,2,,,
20-4-2019,20,25,1,20,dead,,,,
20-4-2019,25,25,2,9,dead,,,,
20-4-2019,20,20,2,100,neonates,4,,,
20-4-2019,20,20,3,30,neonates,4,,,
20-4-2019,20,20,3,13,neonates,2,,,
21-4-2019,25,20,2,100,neonates,3,,,
21-4-2019,15,20,1,100,dead,,,,
21-4-2019,25,25,1,6,ephippia,,,,
21-4-2019,25,25,1,20,neonates,2,,,
21-4-2019,20,25,1,4,ephippia,,,,
22-4-2019,25,20,1,6,ephippia,,,,
22-4-2019,25,20,2,67,neonates,2,,,
22-4-2019,25,20,3,0,neonates,2,,,
27-4-2019,15,20,1,44,neonates,6,,,
27-4-2019,15,20,2,67,dead,,,,
27-4-2019,20,20,1,30,ephippia,,,,
27-4-2019,20,20,2,4,ephippia,,,,
27-4-2019,20,20,3,4,neonates,2,,,
27-4-2019,20,20,3,30,neonates,1,,,
27-4-2019,25,20,2,9,neonates,2,,,
27-4-2019,25,20,3,9,neonates,2,,,
27-4-2019,15,15,2,4,dead,,,,
27-4-2019,20,25,3,100,dead,,,,
27-4-2019,25,25,3,100,dead,,,,
27-4-2019,20,25,1,44,neonates,1,,,
27-4-2019,20,25,3,67,ephippia,,,,
28-4-2019,25,20,3,0,missing,,,,
28-4-2019,20,20,2,9,ephippia,,,,
28-4-2019,20,20,2,6,ephippia,,,,
28-4-2019,20,20,3,13,ephippia,,,,
28-4-2019,15,15,3,9,dead,,,,
28-4-2019,15,15,3,4,dead,,,,
28-4-2019,20,15,1,6,neonates,1,,,
28-4-2019,20,15,1,30,neonates,11,,,
28-4-2019,15,25,2,13,neonates,3,,,
3-5-2019,25,15,2,13,neonates,7,,,
3-5-2019,20,15,1,6,ephippia,,,,
3-5-2019,20,15,1,30,ephippia,,,,
3-5-2019,20,25,1,0,neonates,2,,,
3-5-2019,20,25,1,44,neonates,2,,,
3-5-2019,20,25,3,30,neonates,2,,,
3-5-2019,25,25,1,100,dead,,,,
3-5-2019,15,25,2,0,dead,,,,
3-5-2019,15,25,3,100,dead,,,,
3-5-2019,25,20,1,4,neonates,2,,,
3-5-2019,25,20,2,100,neonates,3,,,
3-5-2019,25,20,3,9,neonates,4,,,
3-5-2019,15,20,1,30,neonates,4,,,
3-5-2019,15,20,1,44,neonates,4,,,
3-5-2019,15,20,1,67,neonates,3,,,
4-5-2019,20,15,1,0,neonates,3,,,
4-5-2019,20,15,3,0,neonates,6,,,
4-5-2019,20,15,3,9,neonates,3,,,
