day,month,year,acc_temp,test_temp,rep,conc,obs,count,size_adult,size_offspring,time_brood,brood_number
9,7,2019,2,2,1,98,s,,,,,
9,7,2019,2,1,1,98,s,,,,,
9,7,2019,2,3,1,98,s,,,,,
9,7,2019,1,2,1,98,s,,,,,
10,7,2019,2,2,2,98,s,,,,,
10,7,2019,1,1,1,98,s,,,,,
11,7,2019,2,1,2,98,s,,,,,
11,7,2019,2,3,2,98,s,,,,,
12,7,2019,1,3,1,98,s,,,,,
12,7,2019,2,2,1,7,d,,,,,
13,7,2019,1,2,2,98,s,,,,,
13,7,2019,1,1,2,98,s,,,,,
13,7,2019,1,3,2,98,s,,,,,
13,7,2019,1,2,3,98,s,,,,,
13,7,2019,2,2,2,7,d,,,,,
13,7,2019,2,3,1,7,d,,,,,
13,7,2019,2,3,2,7,d,,,,,
14,7,2019,1,1,3,98,s,,,,,
14,7,2019,1,3,3,98,s,,,,,
14,7,2019,1,2,1,7,d,,,,,
14,7,2019,1,3,1,7,d,,,,,
15,7,2019,1,2,4,98,s,,,,,
15,7,2019,2,1,1,3,d,,,,,
16,7,2019,2,2,3,98,s,,,,,
16,7,2019,2,1,3,98,s,,,,,
16,7,2019,1,1,4,98,s,,,,,
16,7,2019,2,3,2,1,d,,,,,
16,7,2019,3,2,1,98,s,,,,,
17,7,2019,1,3,4,98,s,,,,,
17,7,2019,3,3,1,98,s,,,,,
17,7,2019,2,2,3,7,d,,,,,
17,7,2019,1,2,4,7,d,,,,,
17,7,2019,1,3,1,4,d,,,,,
17,7,2019,1,3,2,7,d,,,,,
17,7,2019,2,3,3,98,s,,,,,
18,7,2019,2,2,4,98,s,,,,,
18,7,2019,1,3,3,7,d,,,,,
18,7,2019,1,3,4,7,d,,,,,
19,7,2019,1,2,1,2,n,2,,,,
19,7,2019,2,1,1,7,d,,,,,
19,7,2019,1,3,3,7,d,,,,,
19,7,2019,1,2,1,7,d,,,,,
20,7,2019,1,2,4,7,d,,,,,
20,7,2019,2,3,2,2,d,,,,,
20,7,2019,1,3,4,7,d,,,,,
21,7,2019,2,3,1,0,n,3,,,,
21,7,2019,1,3,2,0,n,9,,,,
21,7,2019,1,3,2,1,n,8,,,,
21,7,2019,1,3,3,0,n,6,,,,
21,7,2019,2,2,1,0,n,4,,,,
21,7,2019,2,2,1,1,n,4,,,,
21,7,2019,2,2,1,2,n,6,,,,
21,7,2019,2,2,1,3,n,4,,,,
21,7,2019,1,2,1,0,n,5,,,,
22,7,2019,2,2,1,4,n,1,,,,
22,7,2019,2,2,2,4,n,4,,,,
22,7,2019,1,2,1,1,n,5,,,,
22,7,2019,1,2,2,0,n,1,,,,
22,7,2019,1,2,3,0,n,9,,,,
22,7,2019,2,3,2,0,n,1,,,,
22,7,2019,3,1,1,98,s,,,,,
22,7,2019,2,1,2,3,d,,,,,
23,7,2019,2,2,1,2,d,,,,,
23,7,2019,1,3,3,2,n,6,,,,
23,7,2019,1,2,3,4,n,7,,,,
23,7,2019,1,2,3,3,n,8,,,,
23,7,2019,1,2,3,2,n,6,,,,
23,7,2019,1,2,3,1,n,6,,,,
23,7,2019,1,1,4,1,d,,,,,
24,7,2019,1,1,3,1,d,,,,,
23,7,2019,3,2,2,98,s,,,,,
23,7,2019,3,3,2,98,s,,,,,
24,7,2019,2,1,4,98,s,,,,,
24,7,2019,3,1,2,98,s,,,,,
24,7,2019,3,2,3,98,s,,,,,
25,7,2019,2,3,4,98,s,,,,,
24,7,2019,1,3,3,0,n,7,,,,
24,7,2019,1,3,2,1,n,2,,,,
24,7,2019,2,3,2,0,n,1,,,,
24,7,2019,2,3,1,0,n,2,,,,
24,7,2019,1,3,2,0,dd,,,,,
24,7,2019,1,2,1,1,dd,,,,,
24,7,2019,2,2,2,2,n,4,,,,
24,7,2019,2,2,2,5,n,5,,,,
24,7,2019,1,2,2,2,n,7,,,,
24,7,2019,1,2,3,5,n,7,,,,
25,7,2019,1,3,5,0,s,,,,,
25,7,2019,3,1,3,98,s,,,,,
25,7,2019,3,3,3,98,s,,,,,
25,7,2019,2,2,3,5,d,,,,,
25,7,2019,1,2,4,6,d,,,,,
25,7,2019,2,2,2,1,n,8,,,,
25,7,2019,2,2,2,3,n,5,,,,
25,7,2019,1,2,2,1,n,5,,,,
25,7,2019,1,2,3,1,n,7,,,,
25,7,2019,1,3,2,0,d,,,,,
25,7,2019,2,3,1,4,n,4,,,,
25,7,2019,1,3,1,2,n,5,,,,
25,7,2019,1,1,3,1,d,,,,,
26,7,2019,3,2,4,98,s,,,,,
26,7,2019,2,3,2,0,n,1,,,,
26,7,2019,2,3,2,5,n,6,,,,
26,7,2019,1,3,1,0,n,5,,,,
26,7,2019,1,3,1,3,n,1,,,,
26,7,2019,1,3,1,5,n,2,,,,
26,7,2019,2,2,1,0,n,4,,,,
26,7,2019,2,2,1,1,n,4,,,,
26,7,2019,2,2,2,2,n,6,,,,
26,7,2019,1,2,1,2,n,6,,,,
26,7,2019,1,2,1,3,n,1,,,,
26,7,2019,1,2,2,1,n,3,,,,
26,7,2019,1,2,3,0,n,4,,,,
26,7,2019,1,2,3,2,n,9,,,,
27,7,2019,1,2,1,1,n,1,,,,
27,7,2019,1,2,1,3,n,1,,,,
27,7,2019,1,2,3,4,n,4,,,,
27,7,2019,1,3,1,2,n,3,,,,
27,7,2019,1,3,1,1,n,3,,,,
27,7,2019,1,3,2,1,n,4,,,,
27,7,2019,1,3,2,2,n,4,,,,
28,7,2019,1,3,3,6,d,,,,,
28,7,2019,3,3,2,6,d,,,,,
28,7,2019,2,3,1,0,n,4,,,,
28,7,2019,1,3,1,0,n,3,,,,
28,7,2019,1,3,4,3,n,3,,,,
28,7,2019,1,1,2,6,d,,,,,
27,7,2019,2,2,3,5,d,,,,,
27,7,2019,2,2,3,6,d,,,,,
28,7,2019,1,2,1,1,d,,,,,
28,7,2019,1,2,2,6,d,,,,,
28,7,2019,3,2,2,7,d,,,,,
28,7,2019,2,2,1,0,n,2,,,,
28,7,2019,2,2,1,1,n,7,,,,
28,7,2019,1,2,1,0,n,2,,,,
28,7,2019,1,2,2,1,n,9,,,,
29,7,2019,2,2,1,5,n,3,,,,
29,7,2019,1,2,3,0,n,6,,,,
29,7,2019,1,2,4,2,n,4,,,,
29,7,2019,3,3,1,0,n,1,,,,
29,7,2019,3,3,1,2,n,2,,,,
29,7,2019,2,3,1,1,n,4,,,,
29,7,2019,1,3,1,1,n,2,,,,
29,7,2019,3,3,4,98,s,,,,,
29,7,2019,3,1,4,98,s,,,,,
30,7,2019,1,2,1,2,n,1,,,,
30,7,2019,1,2,2,1,n,1,,,,
30,7,2019,1,2,2,0,n,4,,,,
30,7,2019,1,2,4,0,n,3,,,,
30,7,2019,3,3,1,7,n,1,,,,
30,7,2019,2,3,2,0,n,1,,,,
30,7,2019,1,3,1,2,n,2,,,,
30,7,2019,1,3,4,1,n,3,,,,
31,7,2019,1,3,1,0,n,1,,,,
31,7,2019,1,3,1,5,n,2,,,,
31,7,2019,2,1,3,7,d,,,,,
31,7,2019,2,3,1,6,d,,,,,
31,7,2019,2,3,1,0,d,,,,,
