"day","month","year","acc_temp","test_temp","rep","conc","obs","count","size_adult","size_offspring","time_brood","brood_number","date_manual","date","test"
9,7,2019,20,20,1,60,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 20 1 60"
9,7,2019,20,15,1,60,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 15 1 60"
9,7,2019,20,25,1,60,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 25 1 60"
9,7,2019,15,20,1,60,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"15 20 1 60"
9,7,2019,20,20,1,0,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 20 1 0"
9,7,2019,20,15,1,0,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 15 1 0"
9,7,2019,20,25,1,0,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 25 1 0"
9,7,2019,15,20,1,0,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"15 20 1 0"
9,7,2019,20,20,1,6,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 20 1 6"
9,7,2019,20,15,1,6,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 15 1 6"
9,7,2019,20,25,1,6,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 25 1 6"
9,7,2019,15,20,1,6,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"15 20 1 6"
9,7,2019,20,20,1,9,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 20 1 9"
9,7,2019,20,15,1,9,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 15 1 9"
9,7,2019,20,25,1,9,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 25 1 9"
9,7,2019,15,20,1,9,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"15 20 1 9"
9,7,2019,20,20,1,13,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 20 1 13"
9,7,2019,20,15,1,13,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 15 1 13"
9,7,2019,20,25,1,13,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 25 1 13"
9,7,2019,15,20,1,13,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"15 20 1 13"
9,7,2019,20,20,1,20,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 20 1 20"
9,7,2019,20,15,1,20,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09,"20 15 1 20"
