"day","month","year","acc_temp","test_temp","rep","conc","obs","count","size_adult","size_offspring","time_brood","brood_number","date_manual","date"
9,7,2019,2,2,1,98,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09
9,7,2019,2,1,1,98,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09
9,7,2019,2,3,1,98,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09
9,7,2019,1,2,1,98,"s",NA,NA,NA,NA,NA,2019-07-09,2019-07-09
10,7,2019,2,2,2,98,"s",NA,NA,NA,NA,NA,2019-07-10,2019-07-10
10,7,2019,1,1,1,98,"s",NA,NA,NA,NA,NA,2019-07-10,2019-07-10
11,7,2019,2,1,2,98,"s",NA,NA,NA,NA,NA,2019-07-11,2019-07-11
11,7,2019,2,3,2,98,"s",NA,NA,NA,NA,NA,2019-07-11,2019-07-11
12,7,2019,1,3,1,98,"s",NA,NA,NA,NA,NA,2019-07-12,2019-07-12
12,7,2019,2,2,1,7,"d",NA,NA,NA,NA,NA,2019-07-12,2019-07-12
13,7,2019,1,2,2,98,"s",NA,NA,NA,NA,NA,2019-07-13,2019-07-13
13,7,2019,1,1,2,98,"s",NA,NA,NA,NA,NA,2019-07-13,2019-07-13
13,7,2019,1,3,2,98,"s",NA,NA,NA,NA,NA,2019-07-13,2019-07-13
13,7,2019,1,2,3,98,"s",NA,NA,NA,NA,NA,2019-07-13,2019-07-13
13,7,2019,2,2,2,7,"d",NA,NA,NA,NA,NA,2019-07-13,2019-07-13
13,7,2019,2,3,1,7,"d",NA,NA,NA,NA,NA,2019-07-13,2019-07-13
13,7,2019,2,3,2,7,"d",NA,NA,NA,NA,NA,2019-07-13,2019-07-13
14,7,2019,1,1,3,98,"s",NA,NA,NA,NA,NA,2019-07-14,2019-07-14
14,7,2019,1,3,3,98,"s",NA,NA,NA,NA,NA,2019-07-14,2019-07-14
14,7,2019,1,2,1,7,"d",NA,NA,NA,NA,NA,2019-07-14,2019-07-14
14,7,2019,1,3,1,7,"d",NA,NA,NA,NA,NA,2019-07-14,2019-07-14
15,7,2019,1,2,4,98,"s",NA,NA,NA,NA,NA,2019-07-15,2019-07-15
15,7,2019,2,1,1,3,"d",NA,NA,NA,NA,NA,2019-07-15,2019-07-15
16,7,2019,2,2,3,98,"s",NA,NA,NA,NA,NA,2019-07-16,2019-07-16
16,7,2019,2,1,3,98,"s",NA,NA,NA,NA,NA,2019-07-16,2019-07-16
16,7,2019,1,1,4,98,"s",NA,NA,NA,NA,NA,2019-07-16,2019-07-16
16,7,2019,2,3,2,1,"d",NA,NA,NA,NA,NA,2019-07-16,2019-07-16
16,7,2019,3,2,1,98,"s",NA,NA,NA,NA,NA,2019-07-16,2019-07-16
17,7,2019,1,3,4,98,"s",NA,NA,NA,NA,NA,2019-07-17,2019-07-17
17,7,2019,3,3,1,98,"s",NA,NA,NA,NA,NA,2019-07-17,2019-07-17
17,7,2019,2,2,3,7,"d",NA,NA,NA,NA,NA,2019-07-17,2019-07-17
17,7,2019,1,2,4,7,"d",NA,NA,NA,NA,NA,2019-07-17,2019-07-17
17,7,2019,1,3,1,4,"d",NA,NA,NA,NA,NA,2019-07-17,2019-07-17
17,7,2019,1,3,2,7,"d",NA,NA,NA,NA,NA,2019-07-17,2019-07-17
17,7,2019,2,3,3,98,"s",NA,NA,NA,NA,NA,2019-07-17,2019-07-17
18,7,2019,2,2,4,98,"s",NA,NA,NA,NA,NA,2019-07-18,2019-07-18
18,7,2019,1,3,3,7,"d",NA,NA,NA,NA,NA,2019-07-18,2019-07-18
18,7,2019,1,3,4,7,"d",NA,NA,NA,NA,NA,2019-07-18,2019-07-18
19,7,2019,1,2,1,2,"n",2,NA,NA,NA,NA,2019-07-19,2019-07-19
19,7,2019,2,1,1,7,"d",NA,NA,NA,NA,NA,2019-07-19,2019-07-19
19,7,2019,1,3,3,7,"d",NA,NA,NA,NA,NA,2019-07-19,2019-07-19
19,7,2019,1,2,1,7,"d",NA,NA,NA,NA,NA,2019-07-19,2019-07-19
20,7,2019,1,2,4,7,"d",NA,NA,NA,NA,NA,2019-07-20,2019-07-20
20,7,2019,2,3,2,2,"d",NA,NA,NA,NA,NA,2019-07-20,2019-07-20
20,7,2019,1,3,4,7,"d",NA,NA,NA,NA,NA,2019-07-20,2019-07-20
21,7,2019,2,3,1,0,"n",3,NA,NA,NA,NA,2019-07-21,2019-07-21
21,7,2019,1,3,2,0,"n",9,NA,NA,NA,NA,2019-07-21,2019-07-21
21,7,2019,1,3,2,1,"n",8,NA,NA,NA,NA,2019-07-21,2019-07-21
21,7,2019,1,3,3,0,"n",6,NA,NA,NA,NA,2019-07-21,2019-07-21
21,7,2019,2,2,1,0,"n",4,NA,NA,NA,NA,2019-07-21,2019-07-21
21,7,2019,2,2,1,1,"n",4,NA,NA,NA,NA,2019-07-21,2019-07-21
21,7,2019,2,2,1,2,"n",6,NA,NA,NA,NA,2019-07-21,2019-07-21
21,7,2019,2,2,1,3,"n",4,NA,NA,NA,NA,2019-07-21,2019-07-21
21,7,2019,1,2,1,0,"n",5,NA,NA,NA,NA,2019-07-21,2019-07-21
22,7,2019,2,2,1,4,"n",1,NA,NA,NA,NA,2019-07-22,2019-07-22
22,7,2019,2,2,2,4,"n",4,NA,NA,NA,NA,2019-07-22,2019-07-22
22,7,2019,1,2,1,1,"n",5,NA,NA,NA,NA,2019-07-22,2019-07-22
22,7,2019,1,2,2,0,"n",1,NA,NA,NA,NA,2019-07-22,2019-07-22
22,7,2019,1,2,3,0,"n",9,NA,NA,NA,NA,2019-07-22,2019-07-22
22,7,2019,2,3,2,0,"n",1,NA,NA,NA,NA,2019-07-22,2019-07-22
22,7,2019,3,1,1,98,"s",NA,NA,NA,NA,NA,2019-07-22,2019-07-22
22,7,2019,2,1,2,3,"d",NA,NA,NA,NA,NA,2019-07-22,2019-07-22
23,7,2019,2,2,1,2,"d",NA,NA,NA,NA,NA,2019-07-23,2019-07-23
23,7,2019,1,3,3,2,"n",6,NA,NA,NA,NA,2019-07-23,2019-07-23
23,7,2019,1,2,3,4,"n",7,NA,NA,NA,NA,2019-07-23,2019-07-23
23,7,2019,1,2,3,3,"n",8,NA,NA,NA,NA,2019-07-23,2019-07-23
23,7,2019,1,2,3,2,"n",6,NA,NA,NA,NA,2019-07-23,2019-07-23
23,7,2019,1,2,3,1,"n",6,NA,NA,NA,NA,2019-07-23,2019-07-23
23,7,2019,1,1,4,1,"d",NA,NA,NA,NA,NA,2019-07-23,2019-07-23
24,7,2019,1,1,3,1,"d",NA,NA,NA,NA,NA,2019-07-24,2019-07-24
23,7,2019,3,2,2,98,"s",NA,NA,NA,NA,NA,2019-07-23,2019-07-23
23,7,2019,3,3,2,98,"s",NA,NA,NA,NA,NA,2019-07-23,2019-07-23
24,7,2019,2,1,4,98,"s",NA,NA,NA,NA,NA,2019-07-24,2019-07-24
24,7,2019,3,1,2,98,"s",NA,NA,NA,NA,NA,2019-07-24,2019-07-24
24,7,2019,3,2,3,98,"s",NA,NA,NA,NA,NA,2019-07-24,2019-07-24
25,7,2019,2,3,4,98,"s",NA,NA,NA,NA,NA,2019-07-25,2019-07-25
24,7,2019,1,3,3,0,"n",7,NA,NA,NA,NA,2019-07-24,2019-07-24
24,7,2019,1,3,2,1,"n",2,NA,NA,NA,NA,2019-07-24,2019-07-24
24,7,2019,2,3,2,0,"n",1,NA,NA,NA,NA,2019-07-24,2019-07-24
24,7,2019,2,3,1,0,"n",2,NA,NA,NA,NA,2019-07-24,2019-07-24
